"skill_id","skills","demand_count","avg_salary"
0,"sql","17","91092"
1,"python","14","92494"
182,"tableau","10","95315"
181,"excel","9","83563"
183,"power bi","5","92100"
92,"spark","4","107479"
192,"sheets","4","100625"
186,"sas","4","88750"
7,"sas","4","88750"
22,"vba","4","83875"
80,"snowflake","3","123333"
77,"bigquery","3","107833"
97,"hadoop","3","107167"
74,"azure","3","103671"
185,"looker","2","130250"
76,"aws","2","105000"
81,"gcp","2","105000"
9,"javascript","2","101750"
199,"spss","2","79000"
78,"redshift","1","120000"
17,"typescript","1","108416"
75,"databricks","1","101014"
233,"jira","1","100500"
204,"visio","1","100500"
189,"sap","1","99150"
141,"express","1","99150"
5,"r","1","98500"
61,"sql server","1","90000"
201,"alteryx","1","63000"
26,"c","1","63000"
188,"word","1","49567"
196,"powerpoint","1","49567"
198,"outlook","1","49567"
